City,Country,Longitude,Latitude,Alternate Names found in Archives,notes
Camporgiano,Italie,10.3348533,44.1572028,,
Golfe de Gènes,Italie,8.916667,44.166667,,
Finale Ligure,Italie,8.3416211,44.1689028,,
Piazza Al Serchio,Italie,10.3015761,44.1832842,,
Castel del Rio,Italie,11.5035176,44.2132011,,
Forli,Italie,12.0407312,44.2227398,,
Piétra Colora,Italie,10.9859993,44.2484839,Pietra Colera,
Castiglione,Italie,12.2630765,44.2599162,,
Monte La Pieve,Italie,11.5409241,44.2693098,,
Fiume,Italie,9.5073894,44.270862,,
Faenza,Italie,11.8774091,44.2898527,,
Faënza,Italie,11.8774091,44.2898527,,
Cassa Di Lama,Italie,10.73229,44.30933,,
Castel Bolognèse,Italie,11.7954257,44.3212615,,
Livergnano,Italie,11.3338876,44.3244108,,
Kastel Lugo,Italie,11.8562623,44.3263859,,
Monterenzio,Italie,11.4050575,44.3280561,,
Dozza,Italie,11.6257407,44.3587677,,
Pianoro,Italie,11.3658004,44.3766658,,
Cotignola,Italie,11.9434179,44.3835304,,
Fontana,Italie,11.2375023,44.3842319,,
Sasso Marconi,Italie,11.248204,44.3987645,,
Gênes,Italie,8.946256,44.4056499,,
Cairo,Italie,8.3197946,44.4069442,,
Guiglia,Italie,10.9467939,44.4086377,,
Bubano,Italie,11.7816678,44.4098829,,
Ravenna,Italie,12.2035294,44.4183598,,
Ravenne,Italie,12.2035294,44.4183598,,
Ravenna,Italie,12.2035,44.4184,San Marco près Ravenna,
Lugo,Italie,11.9116835,44.4218314,,
Castelle de Britti,Italie,11.4366627,44.4253401,,
près Castellino,Italie,7.9799287,44.4276478,,
Farneto,Italie,11.4049177,44.4362792,,
Fusignano (Emilie Romagne),Italie,11.9639565,44.46693,,
Fusignano,Italie,11.9639565,44.46693,,
Fussignano,Italie,11.9639565,44.46693,,
Medecina,Italie,11.6357888,44.4774953,,
Putti,Italie,11.347408,44.48054,,
Bologna,Italie,11.3426163,44.494887,"Bologne, Bologne (Haute-Marne)",
Alfonsine,Italie,12.0430671,44.5059036,Alfonsini / Mentane,
Solignanomodena,Italie,10.9244833,44.5278815,,
Sud de Bolognia,Italie,11.2878593,44.5345216,,
Sassouolo,Italie,10.7847741,44.54433,,
La Frascata,Italie,11.8807505,44.5449035,,
Funo,Italie,11.3665517,44.589011,,
Argenta,Italie,11.8726838,44.6236078,,
Lac de Comachio,Italie,12.256561,44.6258097,,
Novi Ovada,Italie,8.646838,44.6432251,,
Argelat,Italie,11.3447429,44.6447617,,
Modena,Italie,10.9252269,44.647128,,
Anita-Comachio,Italie,12.2430092,44.6769814,,
Portomaggiore,Italie,11.8056851,44.6976116,,
Brentassi,Italie,9.1620046,44.753848,,
Carpi,Italie,10.8796629,44.7838779,,
Ferrara,Italie,11.619787,44.8381237,,
Pola,Italie,12.0185741,44.878054,,
Près Gualtiera,Italie,10.6115031,44.8897874,,
Copparo,Italie,11.8306888,44.8933268,,
Casoni di Romagna,Italie,10.735233,44.9400908,,
Adria,Italie,12.0561066,45.056396,,
Montoglio,Italie,8.0983523,45.0645155,,
Torrina,Italie,7.6868565,45.070312,,
Monticelli,Italie,9.929659,45.0914611,,
Suza,Italie,7.0484573,45.1386144,,
Martinelle,Italie,12.1191979,45.1387805,,
Cremona,Italie,10.0325503,45.1404206,,
Monselice,Italie,11.749736,45.2391132,,
Saint Piétro,Italie,11.22837,45.2398246,,
Battaglia,Italie,11.7823895,45.2908281,,
Vercelli,Italie,8.4185735,45.3202272,,
Monte Grande,Italie,11.7725371,45.3556813,,
Castel d'Azano,Italie,10.9568381,45.3557414,,
Mulazzano,Italie,9.3998659,45.3739443,,
Padoue,Italie,11.8767611,45.4064349,,
Padua,Italie,11.8767611,45.4064349,,
Colognola,Italie,11.1942875,45.4333052,,
Saint Andréa,Italie,12.381146,45.434602,,
Verona,Italie,10.9916215,45.4383842,,
Vérone,Italie,10.9916215,45.4383842,,
Peschiera Verona,Italie,10.6865449,45.4396385,,
Vignole,Italie,12.376779,45.440531,,
Milan,Italie,9.1859243,45.4654219,,
Istrie,Italie,9.1980441,45.5018453,,
Netro,Italie,7.9444013,45.5391333,,
Garda,Italie,10.697794,45.578107,,
Borbone,Italie,10.1247812,45.6186574,,
Trieste,Italie,13.7768,45.6495,en mer près de Triest Opicina,
Trieste,Italie,13.7768182,45.6495264,,
Mattauno,Italie,13.9918177,45.6628044,,
Galliera Veneta,Italie,11.8360027,45.6653505,,
Postumia,Italie,12.1826131,45.6677801,,
Castelfranco,Italie,11.9282388,45.6716942,,
Pieve del Pius,Italie,11.8976675,45.7341845,,
Courmayeur,Italie,6.9689626,45.7969221,,
Varèse,Italie,8.8250576,45.8205989,,
Crocetta,Italie,12.0280966,45.8386932,,
Cernizza,Italie,13.777309,45.9082968,,
Arco,Italie,10.8855763,45.9178609,,
Gorezia,Italie,13.6201754,45.9401812,,
Gorizia,Italie,13.6201754,45.9401812,,
Mortegliano Chiasiellio,Italie,13.2072233,45.9423892,,
Cormous,Italie,13.4694723,45.9603147,,
Gatter,Italie,11.0807967,45.9913623,,
Chiesa del bando,Italie,12.8429139,46.000046,,
Udine,Italie,13.2345794,46.0710668,,
Dignano,Italie,12.9374518,46.085532,,
Mezzano,Italie,11.8082427,46.1547408,,
San Daniela,Italie,13.0100105,46.1578578,,
Teglia,Italie,10.0609586,46.171494,,
Saint Martino,Italie,11.8002183,46.2617642,,
Gemona,Italie,13.1209534,46.2774206,,
Carano,Italie,11.4407586,46.2921357,,
Bonziano,Italie,11.3547582,46.4982953,,
Ampezzo,Italie,12.1356524,46.5404711,,
Monte Croce,Italie,12.9666667,46.6,,
San Petro,Italie,11.6007971,46.6053131,,
Meran,Italie,11.1525179,46.6712938,,
Monte Delle,Italie,11.7449895,46.7679737,,
